Account,sentiment,fills,accounts,symbols,notional_usd,avg_notional_usd,gross_closed_pnl,total_fees,net_pnl,closed_fills,reducing_position_rate,closed_win_rate,avg_closed_pnl,median_closed_pnl,net_pnl_per_1k_notional
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,5981,1,3,225087033.36,37633.67887644207,367166.216924,37595.168435,329571.048489,2576,43.036281558267845,86.0248447204969,142.53346930279503,6.6024,1.4641938434627206
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,2517,1,4,69726062.55,27702.0510727056,381330.49405,13410.65881658,367919.83523342,1443,57.33015494636472,96.67359667359668,264.2622966389466,33.688479,5.276647236025807
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,3169,1,2,121999299.14,38497.727718523194,163047.664946,24868.86751,138178.797436,1306,42.253076680340804,91.34762633996937,124.84507269984687,4.792552,1.132619600358796
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Greed,223,1,1,727332.09,3261.5788789237668,0.0,12.38025211,-12.38025211,0,0.0,,,,-0.017021457296075033
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Fear,143,1,10,146503.36,1024.4990209790208,2037.258612,42.3184906229,1994.9401213771,46,32.16783216783217,95.65217391304348,44.288230695652175,31.730198,13.617026403879748
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,359,1,12,305149.83,849.9995264623956,2040.359057,84.4240759195,1955.9349810805,82,23.676880222841227,96.34146341463415,24.88242752439024,11.86372,6.409752812513446
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Neutral,61,1,3,37444.55,613.8450819672132,1258.120923,7.1070128100000005,1251.01391019,23,37.704918032786885,100.0,54.70090969565217,38.995351,33.40977285586286
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,241,1,9,132946.9,551.6468879668049,30203.401038,27.90836476,30175.492673239998,122,50.62240663900415,100.0,247.5688609672131,253.5774125,226.97402251003973
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Greed,171,1,1,106012.87,619.9583040935672,73192.077142,25.07813282,73166.99900918,153,89.47368421052632,100.0,478.37958916339863,193.263393,690.1709104675688
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Fear,509,1,3,3177278.19,6242.196836935167,33980.0,665.05679233,33314.94320767,312,61.29666011787819,100.0,108.91025641025641,18.5129,10.485371823129533
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,311,1,4,1330382.25,4277.756430868168,-58219.752261,127.39115396,-58347.14341496,156,50.160771704180064,32.05128205128205,-373.20354013461537,-8.8103,-43.857427754286405
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Neutral,79,1,1,106000.01,1341.7722784810126,0.0,10.599979000000001,-10.599979000000001,0,0.0,,,,-0.09999979245284979
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,593,1,3,5049640.49,8515.413979763913,453595.31817600003,567.269376,453028.0488,269,45.362563237774026,69.88847583643123,1686.2279486096656,90.5162,89.7149113282716
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Greed,98,1,1,1811199.98,18481.63244897959,0.0,181.119965,-181.119965,0,0.0,,,,-0.09999998178003514
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Fear,221,1,10,577683.5599999999,2613.952760180995,198900.56161,56.113755,198844.447855,187,84.61538461538461,49.73262032085562,1063.6393668983958,-2.6912,344.2099821137372
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,431,1,21,631747.95,1465.772505800464,144514.3446,62.625261,144451.719339,305,70.76566125290023,91.14754098360656,473.81752327868855,84.5376,228.65403732453743
