date,sentiment,fills,accounts,symbols,notional_usd,avg_notional_usd,gross_closed_pnl,total_fees,net_pnl,closed_fills,reducing_position_rate,closed_win_rate,avg_closed_pnl,median_closed_pnl,net_pnl_per_1k_notional
2024-06-11,Greed,123,3,7,373279.92,3034.7960975609753,4320.631811,129.928213,4190.703598,17,13.821138211382115,100.0,254.1548124117647,9.3208,11.226705143957382
2024-06-12,Greed,254,2,3,193407.96,761.4486614173228,-21886.531493,63.921417,-21950.45291,78,30.708661417322837,26.923076923076923,-280.5965576025641,-168.24957,-113.49301709195424
2024-06-13,Greed,79,2,4,132577.22,1678.1926582278481,6632.757115,33.39975,6599.357365,20,25.31645569620253,95.0,331.63785575,293.6439335,49.77746075079866
2024-06-14,Greed,31,2,2,139868.66,4511.892258064517,10258.592609,38.954076,10219.638533,15,48.38709677419355,100.0,683.9061739333333,125.93931,73.06596440546438
2024-06-15,Greed,78,2,2,718350.25,9209.61858974359,3369.958346,251.422549,3118.535797,38,48.717948717948715,100.0,88.68311436842104,68.41421,4.341246901494084
2024-06-16,Greed,11,1,1,25235.079999999998,2294.0981818181817,0.0,8.832277,-8.832277,0,0.0,,,,-0.34999996037262415
2024-06-17,Greed,38,2,2,368380.12,9694.213684210526,10599.502375,128.93302500000001,10470.56935,26,68.42105263157895,96.15384615384616,407.67316826923076,346.53787650000004,28.42327471417296
2024-06-18,Greed,25,2,2,263314.79,10532.5916,282.57636,67.160258,215.416102,4,16.0,100.0,70.64409,61.804643999999996,0.8180934386556866
2024-06-19,Greed,61,3,5,417071.12,6837.231475409836,4887.656944,138.851743,4748.805201,31,88.52459016393442,100.0,157.6663530322581,54.054126,11.386080151030356
2024-06-20,Greed,39,3,4,207990.8,5333.097435897435,57478.456026,13.46905,57464.986976,8,79.48717948717949,100.0,7184.80700325,5237.9855575,276.28619619713953
2024-06-21,Greed,80,2,3,176264.49,2203.306125,773.5582039999999,61.277099,712.281105,3,3.75,100.0,257.85273466666666,186.44,4.040979013980638
2024-06-22,Neutral,24,2,2,169594.27000000002,7066.427916666667,756.876565,40.533382,716.343183,8,83.33333333333334,100.0,94.609570625,62.88288300000001,4.223864302726737
2024-06-23,Greed,5,1,1,1792.12,358.424,0.0,0.17921199999999998,-0.17921199999999998,0,100.0,,,,-0.09999999999999999
2024-06-24,Neutral,31,2,2,403002.8,13000.090322580645,0.0,103.551001,-103.551001,0,19.35483870967742,,,,-0.25694858943908083
2024-06-25,Fear,49,1,2,103099.08,2104.062857142857,4869.353105,36.084651,4833.268454,11,65.3061224489796,100.0,442.6684640909091,376.6594,46.87984077064509
2024-06-26,Neutral,72,2,2,365190.66000000003,5072.092500000001,4197.732182,127.5543,4070.177882,21,29.166666666666668,100.0,199.89200866666664,132.40224,11.1453504369471
2024-06-27,Fear,30,2,3,130486.95,4349.565,0.0,45.556012,-45.556012,0,0.0,,,,-0.3491231268720742
2024-06-29,Fear,75,2,5,280095.11,3734.6014666666665,6150.326145,460.295231,5690.030914,24,84.0,100.0,256.263589375,181.8474765,20.314638531176072
2024-06-30,Neutral,14,2,4,30520.69,2180.049285714286,0.0,17.057669,-17.057669,0,64.28571428571429,,,,-0.558888707955161
2024-07-01,Neutral,64,2,5,362670.14999999997,5666.721093749999,5065.839308,425.323025,4640.516283,26,64.0625,100.0,194.83997338461538,43.9203485,12.795418324336868
2024-07-02,Neutral,18,1,2,33347.47,1852.6372222222224,2421.253116,11.458730000000001,2409.794386,13,72.22222222222221,100.0,186.25023969230767,18.13787,72.26318476334187
2024-07-03,Neutral,18,2,2,179600.66,9977.814444444444,1118.387284,62.628682,1055.7586019999999,4,22.22222222222222,100.0,279.596821,294.140185,5.878367050544246
2024-07-04,Fear,25,2,2,430568.01,17222.720400000002,0.0,113.02464499999999,-113.02464499999999,0,0.0,,,,-0.2625012596732395
2024-07-05,Fear,32,2,3,272289.89,8509.0590625,0.0,95.130717,-95.130717,0,0.0,,,,-0.3493729311800743
2024-07-06,Fear,24,1,3,2490.17,103.75708333333334,108.87217799999999,344.35416,-235.481982,7,29.166666666666668,100.0,15.553168285714284,13.218986,-94.56462088933687
2024-07-07,Fear,10,1,1,498.75,49.875,61.428942,0.049875,61.379067,10,100.0,100.0,6.1428942,4.9143155,123.06579849624059
2024-07-08,Fear,1,1,1,497.64,497.64,0.0,0.0156,-0.0156,0,0.0,,,,-0.031347962382445145
2024-07-09,Fear,15,1,1,2736.45,182.42999999999998,648.984412,0.39756800000000003,648.586844,15,100.0,100.0,43.265627466666665,37.164306,237.01761186939285
2024-07-10,Fear,56,2,3,687900.21,12283.93232142857,11977.734907,240.76504,11736.969867,38,67.85714285714286,100.0,315.20355018421054,191.16024099999998,17.0620239627489
2024-07-11,Fear,19,1,1,169887.02,8941.422105263156,1876.812082,59.460443,1817.351639,9,47.368421052631575,100.0,208.53467577777778,196.188219,10.697413133740294
2024-07-12,Fear,19,2,2,89582.97,4714.893157894737,1412.314654,31.354029,1380.9606250000002,9,47.368421052631575,100.0,156.92385044444444,157.630656,15.415436940748897
2024-07-13,Fear,17,2,2,139189.19,8187.599411764706,2913.617837,48.71621,2864.9016269999997,17,100.0,100.0,171.38928452941175,105.890838,20.582788268255598
2024-07-14,Fear,7,1,1,84001.13,12000.16142857143,0.0,29.400389,-29.400389,0,0.0,,,,-0.34999992262008855
2024-07-15,Neutral,26,2,2,198344.85,7628.6480769230775,-1.0,68.995769,-69.995769,2,7.6923076923076925,0.0,-0.5,-0.5,-0.3528993518107477
2024-07-16,Greed,22,1,1,144000.57,6545.480454545454,0.0,50.400180999999996,-50.400180999999996,0,0.0,,,,-0.34999987152828627
2024-07-17,Greed,351,3,3,626005.53,1783.4915384615385,1859.269477,206.601913,1652.667564,155,44.15954415954416,93.54838709677419,11.995286948387097,6.266881,2.6400207103601785
2024-07-18,Greed,60,2,2,649704.85,10828.414166666666,3803.884311,227.396664,3576.487647,48,80.0,100.0,79.2475898125,74.2411455,5.504788285018959
2024-07-19,Greed,23,2,3,150269.42,6533.453043478262,2155.891114,52.594288,2103.296826,12,52.17391304347826,100.0,179.65759283333333,86.273404,13.996838651536683
2024-07-20,Greed,266,2,5,244362.21,918.65492481203,2299.169566,80.758418,2218.411148,36,13.533834586466165,91.66666666666666,63.865821277777776,5.2045215,9.078372421005689
2024-07-21,Greed,448,2,4,234307.46,523.0077232142856,-2960.716887,64.72334,-3025.440227,236,52.67857142857143,8.898305084745763,-12.545410538135593,-9.41215,-12.912265904807299
2024-07-22,Greed,154,2,3,304213.8,1975.4142857142856,1517.119876,97.459536,1419.66034,106,68.83116883116884,20.754716981132077,14.312451660377357,-8.485113,4.666653320789523
2024-07-23,Greed,370,3,3,358526.54,968.9906486486486,89890.302206,59.243126000000004,89831.05908,364,98.37837837837839,90.38461538461539,246.95137968681317,42.307892,250.55623240611425
2024-07-24,Greed,90,5,27,69207.93,768.977,625.561479,55.067279,570.4942,18,50.0,100.0,34.753415499999996,31.955285,8.243191206556821
2024-07-25,Greed,78,3,4,528555.31,6776.350128205129,916.7382600000001,224.185916,692.5523440000001,10,14.102564102564102,100.0,91.673826,63.402149,1.31027412060244
2024-07-26,Greed,152,4,4,548587.65,3609.1292763157894,2766.513113,206.567015,2559.946098,61,40.78947368421053,100.0,45.35267398360656,16.828758,4.66643042000672
2024-07-27,Greed,57,2,3,905199.75,15880.697368421053,6400.623656,316.819894,6083.803762,42,75.43859649122807,100.0,152.39580133333334,94.386524,6.720951659564642
2024-07-28,Greed,16,2,2,43254.68,2703.4175,587.29903,15.139122,572.159908,12,75.0,100.0,48.941585833333335,40.61945,13.227699476680904
2024-07-29,Greed,39,2,2,327199.14,8389.72153846154,330.80445399999996,114.519684,216.28477,16,41.02564102564102,100.0,20.675278374999998,14.9048315,0.6610187606238818
2024-07-30,Greed,6,1,1,36006.47,6001.078333333334,0.0,12.602264,-12.602264,0,0.0,,,,-0.3499999861136068
2024-07-31,Greed,43,2,4,84506.54,1965.2683720930231,765.690884,29.577267000000003,736.113617,14,32.55813953488372,100.0,54.692206,30.208306,8.710729571936088
